,Site_plot,Mahonia leschenaultii,Toddalia asiatica,Sp124858,Rubus spp,Sp105132,Sp122024,Mappia foetida,Osbeckia wightiana,Oldlendia articularis ,Gaultheria fragrantissima,Sp113255,Eurya japonica,Pilea wightii,Liana,Psychotria nilgiriensis,Sp101440,Daphniphyllum neilgherense,Sp131528,Sp132022,Piper nigrum,Elaeagnus kologa,Sp110222,Hypericum mysorense ,Sp1pVM4r,Symplocos cochinchinensis,Sp1f8pkQ,Sp18di1e,Syzygium spp,Bamboo spp,Sp1NGBvS,Cinnamomum perrottetii,SpUK1,Neolitsea zeylanica,No_pic,Potentilla indica,Sp1SvQDO,Sp1tyZZL,Rhododendron arboreum,Sp1lmWU7,Strobilanthes spp,Sp1RO5AX,Sp1ujpFP,Berberis tinctoria,Rapanea wightiana,Sp1yhVqj,Sp1FHoOe,Site.description,Plot.description,Plot,Site,Acacia,Eucalyptus,Others,Pine,Shola,Tot_bas_ar,Date,Lat.deci..N.,Long.Deci..E.,Plot.location,Elevation,Fresh.stumps,Fresh.Cuts,Logs,Canopy,Stems,Moss,Acacia.regen,Ageratina.spp.,Bamboo,Bidens.pilosa,Coffee,Cestrum,Cupress,Daphniphyllum,Eucalyptus.regen,Eupatorium,Ipomea.purpurea,Lantana,Mikania.micrantha,Other,Pine.regen,Rubus,Shola.regen,Tea,Gorse,VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,VS9,VS10,LL,Fire,Fern,VSsum,TCI_2x2,Elevation,Aspect,Slope,TRI,shlbfr1ha,shlbfr2ha,shlbfr3ha,shlbfr4ha,shlbfr5ha,Aspect_rad,Sine.aspect,Cosine.aspect,TWI,Acacia.abv,Bamboo.abv,Cestrum.abv,Daphniphyllum.abv,Eupatorium.abv,Rubus.abv,Shola.abv,Solanum.mauritianum.abv,Others.abv,Lantana.abv,Ageratina.spp.abv,Coffee.abv,Eucalyptus.abv,Tea.abv,Mikania.micrantha.abv,Pine.abv,Acacia.blw,Bamboo.blw,Cestrum.blw,Daphniphyllum.blw,Eupatorium.blw,Rubus.blw,Shola.blw,Solanum.mauritianum.blw,Others.blw,Eucalyptus.blw,Ageratina.spp.blw,Lantana.blw,Pine.blw,Strobilanthes.spp.blw,Bidens.pilosa.blw,Coffee.blw,Ipomea.purpurea.blw,Tea.blw,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,ln_shlbfr1ha,Ln_elevation,Tot_ct_tree,ln_shlbfr2ha,ln_shlbfr3ha,ln_shlbfr4ha,ln_shlbfr5ha,Acacia.1,Eucalyptus.1,Pine.1,Shola.abv.1,Shola.blw.1,Others.1,Shola.1,rds_lngth_5ha,rds_lngth_4ha,rds_lngth_3ha,rds_lngth_2ha,rds_lngth_1ha,TPI,Agerat_Eupat,Type1,Solanum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Chromalaena odorata,Type1
70,BDX959_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Kottakamboor_eucalyptus,Eucalyptus,1,BDX959,0,0.298367772,0,0,0,0.298367772,04/04/21,10.1979659,77.2644203,4Ha,1876.515566,0,0,1,66.2,6.75,10,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,10,0,0,2,2,1,0,0,1,0,0,0,0,1,0,2,6,-6.594804764,1864,252.5120087,17.43570709,24.61706734,0,0,0,0,0,4.407165953,-0.953779955,-0.300505902,1.284015417,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.530479995,7,0,0,0,0,0,BDX959_1,0,0,BDX959_1,0,0,0,0,0,0,0,-1.75,5,Eucalyptus,0,0,0,0,5,Eucalyptus
71,BDX959_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kottakamboor_eucalyptus,Eucalyptus,2,BDX959,0,0.312063055,0,0,0,0.312063055,04/04/21,10.1969042,77.2650252,1Ha,1896.47897,0,0,0,73.6,8.75,10,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,4,3,3,1,1,1,2,2,2,2,1,0,6,21,2.655169725,1886,253.5112457,28.14555931,41.98809433,0,0,0,0,0,4.424605928,-0.958875461,-0.283827147,-0.587786674,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.542213463,6,0,0,0,0,0,BDX959_2,0,0,0,0,0,0,0,0,0,0,-3.125,10,Eucalyptus,0,0,0,0,10,Eucalyptus
72,BDX959_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kottakamboor_eucalyptus,Eucalyptus,3,BDX959,0,0.038022116,0,0,0,0.038022116,04/04/21,10.1982517,77.2649989,4Ha,1904.227695,0,0,8,67.6,10.25,10,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,3,1,2,3,2,1,0,0,0,2,1,0,1,14,-1.088559389,1906,254.0546112,37.84056473,58.4807663,0,0,0,0,0,4.434089445,-0.961523982,-0.274721009,1.021651268,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.552762084,4,0,0,0,0,0,BDX959_3,0,0,0,0,0,0,0,0,0,0,0.75,5,Eucalyptus,0,0,0,0,5,Eucalyptus
73,BDX959_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kottakamboor_eucalyptus,Eucalyptus,4,BDX959,0,0.176765438,0,0,0,0.176765438,04/04/21,10.1968,77.2650752,1Ha,1894.719357,0,0,1,72,4.75,10,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,2,1,1,1,2,1,1,2,1,1,0,0,15,1.744022012,1883,244.7988739,24.80552101,35.87478256,0,0,0,0,0,4.272546355,-0.904818684,-0.425797075,0.328504086,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.540621529,5,0,0,0,0,0,BDX959_4,0,0,0,0,0,0,0,0,0,0,0.125,5,Eucalyptus,0,0,0,0,5,Eucalyptus
74,BDX959_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kottakamboor_eucalyptus,Eucalyptus,5,BDX959,0,0.404683274,0,0,0,0.404683274,04/04/21,10.1964212,77.2659038,4Ha,1912.025632,0,0,4,67.2,7.5,10,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,2,0,0,5,3,2,1,2,2,1,2,2,2,1,0,0,22,-12.89562511,1922,250.5815277,31.15966415,46.57252502,0,0,0,0,0,4.373472703,-0.943115519,-0.332465212,2.480266333,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.56112159,13,0,0,0,0,0,BDX959_5,0,0,BDX959_5,0,0,0,0,0,0,0,-2.625,5,Eucalyptus,0,0,0,0,5,Eucalyptus
75,BDX959_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kottakamboor_eucalyptus,Eucalyptus,6,BDX959,0,0.543156032,0,0,0,0.543156032,04/04/21,10.1965626,77.264598,4Ha,1867.02271,0,0,0,65.4,4.25,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,1,0,7,8,2.089198589,1872,246.0375061,21.9916153,30.96772575,0,0,0,0,0,4.294164565,-0.913811514,-0.406138545,0.510825634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.534762657,8,0,0,0,0,0,BDX959_6,0,0,0,0,0,0,0,0,0,0,1.875,5,Eucalyptus,0,0,0,0,5,Eucalyptus
76,BDX959_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kottakamboor_eucalyptus,Eucalyptus,7,BDX959,0,0.298025589,0,0,0,0.298025589,04/04/21,10.197115,77.2645143,4Ha,1870.476886,0,0,0,68,12.25,10,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,1,0,0,1,0,4,10,8.986177444,1869,254.7448883,18.13707733,24.91987228,0,0,0,0,0,4.446137053,-0.964763853,-0.263117288,0.79850769,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.533158807,6,0,0,0,0,0,BDX959_7,0,0,0,0,0,0,0,0,0,0,1.375,5,Eucalyptus,0,0,0,0,5,Eucalyptus
77,BDX959_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kottakamboor_eucalyptus,Eucalyptus,8,BDX959,0,0.241223189,0,0,0,0.241223189,04/04/21,10.1976955,77.2645087,4Ha,1877.10982,0,0,7,66.6,10.75,10,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,4,2,3,2,3,3,1,1,1,1,0,5,25,-13.6784687,1863,288.4349365,15.93134022,24.81934738,0,0,0,0,0,5.03413932,-0.948683366,0.316227562,0.91629076,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64999962,112.6,1798,23.45,9.75,53.1,24.7,337.3,0,7.529943371,6,0,0,0,0,0,BDX959_8,0,0,0,0,0,0,0,0,0,0,-3.25,5,Eucalyptus,0,0,0,0,5,Eucalyptus
80,BDZ967_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Near Tamilnadu Border,NA,1,BDZ967,0.262247557,0.484770041,0,0,0,0.747017598,14/04/21,10.194818,77.2732549,4Ha,2306.27307,0,0,0,70.4,13,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,1,2,3,4,3,3,1,0,0,20,-4.178162098,2287,272.1747437,17.9870224,27.14774323,0,0,0,0,0,4.750345418,-0.999279741,0.037947325,-0.587786674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14.14999962,109.9,1785.5,20.85,7.25,53.1,24.7,338.7,0,7.734996194,11,0,0,0,0,BDZ967_1,BDZ967_1,0,0,BDZ967_1,0,0,0,0,0,0,0,-1.375,0,Mixed,0,0,0,0,0,Acacia-Eucalyptus
81,BDZ967_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Near Tamilnadu Border,NA,2,BDZ967,0.124164729,0,0,0,0,0.124164729,14/04/21,10.1952552,77.2732857,4Ha,2271.114709,0,0,0,73.6,23.5,33.33333333,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,2,1,1,3,4,2,3,1,1,0,0,22,35.1495285,2291,308.65979,2.999646664,16.34013557,0,0,0,0,0,5.387129604,-0.780869008,0.624694799,-1.280933857,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14.14999962,109.9,1785.5,20.85,7.25,53.1,24.7,338.7,0,7.736743682,6,0,0,0,0,BDZ967_2,0,0,BDZ967_2,BDZ967_2,0,0,0,0,0,0,0,4.625,0,Acacia,0,0,0,0,0,Acacia
